,url,num_words,is_political,num_links,title,small_title
55,https://www.bbc.com/news/technology-56847518,1328,True,123,Cisco says computer chip shortage to last six months - BBC News,Cisco says computer chip shortage to last six mont
56,https://www.bbc.com/news/56858980,1045,True,106,India Covid crisis: Did election rallies help spread virus? - BBC News,India Covid crisis: Did election rallies help spre
57,https://www.bbc.com/news/world-asia-india-56872266,946,False,111,India Covid: Families appeal for help in Delhi's oxygen shortage - BBC News,India Covid: Families appeal for help in Delhi's o
58,https://www.bbc.com/news/science-environment-56847298,469,True,119,Brazil: Environment police battle for Amazon rainforest - BBC News,Brazil: Environment police battle for Amazon rainf
59,https://www.bbc.com/news/world-56851238,410,False,126,ICYMI: Chinese kite festival and a whale in Italy - BBC News,ICYMI: Chinese kite festival and a whale in Italy 
60,https://www.bbc.com/news/world-europe-56861890,487,False,118,Oscars 2021: 'I don't mind being the underdog' - BBC News,Oscars 2021: 'I don't mind being the underdog' - B
61,https://www.bbc.com/news/world-africa-56861679,372,False,108,"Sierra Leone: 'Covid-19 will go, we need to focus on malaria' - BBC News","Sierra Leone: 'Covid-19 will go, we need to focus "
62,https://www.bbc.com/news/world-europe-37591587,454,True,130,Retracing Albania's history through photography - BBC News,Retracing Albania's history through photography - 
63,https://www.bbc.com/news/world-asia-56860781,1847,True,119,Afghanistan War: How can the West fight terrorism after leaving? - BBC News,Afghanistan War: How can the West fight terrorism 
64,https://www.bbc.com/news/world-africa-56860658,1591,True,127,Ghana basks in Twitter’s surprise choice as Africa HQ - BBC News,Ghana basks in Twitter’s surprise choice as Africa
65,https://www.bbc.com/news/technology-56838118,1315,True,110,Screen time at 'breaking point' but can tech help? - BBC News,Screen time at 'breaking point' but can tech help?
66,https://www.bbc.com/news/entertainment-arts-56766212,1789,False,120,It's the Oscars 2021 - but how many people have seen the main films? - BBC News,It's the Oscars 2021 - but how many people have se
67,https://www.bbc.com/news/technology-56801878,1225,True,109,Telegram misogyny: 'They wanted to tie me and my child to a horse' - BBC News,Telegram misogyny: 'They wanted to tie me and my c
68,https://www.bbc.com/news/disability-56244376,1551,False,111,The disabled doctors not believed by their colleagues - BBC News,The disabled doctors not believed by their colleag
69,https://www.bbc.com/news/stories-55559382,3716,True,83,The homeless drug addict who became a professor - BBC News,The homeless drug addict who became a professor - 
70,https://www.bbc.com/news/stories-56688582,2953,False,110,Nil-by-mouth foodie: The chef who will never eat again - BBC News,Nil-by-mouth foodie: The chef who will never eat a
71,https://www.bbc.com/news/world-latin-america-56696907,2694,False,123,Why are so many babies dying of Covid-19 in Brazil? - BBC News,Why are so many babies dying of Covid-19 in Brazil
